u,v,mag
300.5085144042969,256,254
299.2829895019531,256,255
289.2635803222656,255,255
287.6584777832031,257,255
282.8861083984375,257,254
281.4875793457031,253,255
278.6971740722656,259,254
275.61279296875,258,255
272.1045227050781,259,255
268.7501220703125,253,254
268.62274169921875,256,253
267.5771484375,258,252
267.1798095703125,254,254
266.6423645019531,258,253
265.8583984375,252,253
265.40667724609375,248,255
264.16265869140625,254,255
264.0195007324219,254,252
263.40283203125,260,254
263.37115478515625,262,255
262.7579345703125,254,253
261.83758544921875,255,252
261.5124206542969,255,254
260.7461242675781,252,255
260.26202392578125,261,254
